Abu Dhabi, se Forente Arabiske Emirater;;
Afghanistan;404;
Ajman, se Forente Arabiske Emirater;;
Albania;111;
Algerie;203;
Amerikansk Samoa ;802;684
Amirante, se  Seychellene;;
Andorra;114;
Angola;204;
Anguilla;660;
Antigua og Barbuda;603;
Argentina;705;
Armenia;406;
Aruba;657;
Ascension, se St. Helena;;
Aserbajdsjan;407;
Australia;805;
Azorene, se Portugal;;
Bahamas;605;
Bahrain;409;
Balearene, se Spania;;
Bangladesh;410;
Barbados;602;
Belgia;112;
Belize;604;
Benin;229;
Bermuda;606;139
Bhutan;412;
Bismarck-Arkipelet, se Papua Ny-Guinea;;
Bolivia;710;
Bonaire, se De nederlandske antillene;;
Bosnia-Hercegovina;155;
Botswana;205;
Brasil;715;
Britiske områder i Indiske hav;213;139
Brunei;416;
Bulgaria;113;
Burkina Faso;393;
Burundi;216;
Campbelløya, se New Zealand;;
Canada;612;
Caymanøyene;613;139
Ceuta, se Spania;;
Chagos, Se Britiske omr. i Indiske hav;;
Chile;725;
Christmasøya;807;805
Colombia;730;
Comino, se Malta ;;
Cookøyene;809;820
Costa Rica;616;
Cuba;620;
Curacao, se De nederlandske antillene;;
Danmark;101;
De nederlandske antillene;656;127
Djibouti;250;
Dominica;622;
Dominikanske republikk, Den;624;
Dubai, se Forente Arabiske Emirater;;
Ecuador;735;
Egypt;249;
Eire, se Irland;;
Ekvatorial-Guinea;235;
El Salvador;672;
Elfenbeinskysten;239;
Eritrea;241;
Estland;115;
Etiopia;246;
Falklandsøyene;740;139
Fernando Po, se Ekvatorial-Guinea;;
Fiji;811;
Filippinene;428;
Finland;103;
Forente Arabiske Emirater;426;
Frankrike;117;
Fransk Guyana;745;117
Fransk Polynesia;814;117
Færøyene;104;101
Gabon;254;
Galapagosøyene, se Ecuador;;
Gambia;256;
Georgia;430;
Ghana;260;
Gibraltar;118;139
Gozo, se Malta;;
Grenada;629;
Grønland;102;101
Guadelope;631;117
Guam;817;684
Guatemala;632;
Guinea;264;
Guinea-Bissau;266;
Guyana;720;
Haiti;636;
Hellas;119;
Honduras;644;
Hongkong ;436;484
Hviterussland;120;
Ifni, se Marokko;;
India;444;
Indonesia;448;
Irak;452;
Iran;456;
Irland;121;
Island;105;
Israel;460;
Italia;123;
Jamaica;648;
Japan;464;
Johnstonøya, se Mindre stillehavsøyer;;
Jomfruøyene (amerikanske);601;684
Jomfruøyene (britiske);608;139
Jordan;476;
Kamerun;270;
Kambodsja;478;
Kanaløyene, se Storbritannia;;
Kanariøyene, se Spania;;
Kapp Verde;273;
Kasakhstan;480;
Kenya;276;
Kermadecøyene, se New Zealand;;
Kina;484;
Kirgisistan;502;
Kiribati;815;
Kokosøyene;808;805
Komorene;220;
Kongo, Den demokr.rep. (tidl. Zaire);279;
Kongo, Republikken;278;
Korea, Nord- (Den Demokratiske Folkerepublikk Korea);488;
Korea, Sør- (Republikken Korea);492
Kosovo;161
Kroatia;122
Kuwait;496
Kypros;500
La Desirade, se Guadeloupe;
Laos;504
Latvia;124
Les Saintes, se Guadeloupe;
Lesotho;281
Libanon;508
Liberia;283
Libya;286
Liechtenstein;128
Litauen;136
Luxembourg;129
Macao;510;484
Madagaskar;289;
Madeira, se Portugal;;
Makedonia;156;
Malawi;296;
Malaysia;512;
Maldivene;513;
Mali;299;
Malta;126;
Man, se Storbritannia;;
Marie-Galante, se Guadeloupe;;
Marokko;303;
Marshalløyene;835;
Martinique;650;117
Mauritania;306;
Mauritius;307;
Mayotte;322;117
Melilla, se Spania;;
Mexico;652;
Midwayøyene, se Mindre stillehavsøyer;;
Mikronesiaføderasjonen;826;
Mindre stillehavsøyer (amerikanske);819;684
Moldova;138;
Monaco;130;
Mongolia;516;
Montenegro;160;
Montserrat;654;139
Mosambik;319;
Myanmar (Burma);420;
Namibia;308;
Nauru;818;
Nederland;127;
Nepal;528;
New Zealand;820;
Nicaragua;664;
Niger;309;
Nigeria;313;
Niue;821;820
Nord-Irland, se Storbritannia;;
Nord-Marianene ;840;684
Norfolkøya;822;805
Norge;0;
Ny-Caledonia;833;117
Oman;520;
Pakistan;534;
Palau;839;
Palestinske området, Det;524;980
Panama;668;
Papua Ny-Guinea;827;
Paraguay;755;
Peru;760;
Petite Terre, se Guadeloupe;;
Pitcairn;828;139
Polen;131;
Portugal;132;
Puerto Rico;685;684
Qatar;540;
Ras Al-Khaymah, se Forente Arabiske Emirater;;
Reunion;323;117
Romania;133;
Russland;140;
Rwanda;329;
Saba, se De nederlandske antillene;;
Sabah, se Malaysia;;
Salomonøyene;806
Samoa;830
San Marino;134
Sao Tome og Principe;333
Sarawak, se Malaysia;
Saudi-Arabia;544
Senegal;336
Sentralafrikanske republikk, Den;337
Serbia;159
Seychellene;338
Sharjah, se Forente Arabiske Emirater;
Sierra Leone;339
Singapore;548
Slovakia;157
Slovenia;146
Somalia;346
Spania;137;
Sri Lanka;424;
St Barthélemy;687;117
St.Eustatius, se De nederlandske antillene;;
St.Helena ;209;139
St.Kitts og Nevis;677;
St.Lucia;678;
St.Martin (fransk del);686;117
St.Martin (nederlandsk del), se De nederlandske antillene;;
St.Pierre og Miquelon;676;117
St.Vincent og Grenadinene;679;
Statsløs;;980
Storbritannia;139;
Sudan;356;
Surinam;765;
Sveits;141;
Sverige;106;
Swaziland;357;
Syria;564;
Sør-Afrika;359;
Sør-Georgia, se Falklandsøyene;;
Tadsjikistan;550;
Taiwan;432;
Tanzania;369;
Tchad;373;
Thailand;568;
Togo;376;
Tokelau;829;820
Tonga;813;
Trinidad og Tobago;680;
Tristan da Cunha, se St. Helena;;
Trucial Oman, se Forente Arabiske Emirater;;
Tsjekkiske rep., Den;158;
Tunisia;379;
Turkmenistan;552;
Turks- og Caicosøyene;681;139
Tuvalu ;816;
Tyrkia;143;
Tyskland;144;
Uganda;386;
Ukraina;148;
Um-al Qaivian, se Forente Arabiske Emirater;;
Ungarn;152;
Uoppgitt/ukjent;990;
Uruguay;770;
USA;684;
Usbekistan;554;
Vanuatu;812;
Vatikanstaten;154;
Venezuela;775;
Vest-Sahara;304;
Vietnam;575;
Wakeøya, se Mindre Stillehavsøyer;;
Wallis- og Futunaøyene;832;117
Yemen;578;
Zaire, se Kongo, Den demokr. republikk;;
Zambia;389;
Zimbabwe;326;
Øst-Timor;537;
Østerrike;153;